slug,hall_name,company_name,longitude,latitude
apothecaries,Apothecaries' Hall,The Society of Apothecaries,-0.1018,51.5125
armourers-and-brasiers,Armourers' Hall,The Armourers and Brasiers' Company,-0.0889,51.5158
barbers,Barber-Surgeons' Hall,The Barbers' Company,-0.0964,51.5171
brewers,Brewers' Hall,The Brewers' Company,-0.0951,51.5154
butchers,Butchers' Hall,The Butchers' Company,-0.1005,51.5190
carpenters,Carpenters' Hall,The Carpenters' Company,-0.0866,51.5172
clothworkers,Clothworkers' Hall,The Clothworkers' Company,-0.0846,51.5148
coopers,Coopers' Hall,The Coopers' Company,-0.0798,51.5128
drapers,Drapers' Hall,The Drapers' Company,-0.0879,51.5155
fishmongers,Fishmongers' Hall,The Fishmongers' Company,-0.0863,51.5096
goldsmiths,Goldsmiths' Hall,The Goldsmiths' Company,-0.0959,51.5156
haberdashers,Haberdashers' Hall,The Haberdashers' Company,-0.1016,51.5192
ironmongers,Ironmongers' Hall,The Ironmongers' Company,-0.0962,51.5167
leathersellers,Leathersellers' Hall,The Leathersellers' Company,-0.0796,51.5156
merchant-taylors,Merchant Taylors' Hall,The Merchant Taylors' Company,-0.0858,51.5147
painter-stainers,Painters' Hall,The Painter-Stainers' Company,-0.0965,51.5136
plaisterers,Plaisterers' Hall,The Plaisterers' Company,-0.0959,51.5182
saddlers,Saddlers' Hall,The Saddlers' Company,-0.0967,51.5149
skinners,Skinners' Hall,The Skinners' Company,-0.0837,51.5116
stationers,Stationers' Hall,The Stationers' Company,-0.1010,51.5143
tallow-chandlers,Tallow Chandlers' Hall,The Tallow Chandlers' Company,-0.0817,51.5117
vintners,Vintners' Hall,The Vintners' Company,-0.0923,51.5105
wax-chandlers,Wax Chandlers' Hall,The Wax Chandlers' Company,-0.0954,51.5158
